space_start_mile,space_end_mile,time_start_s,time_end_s,average_speed_mph,vehicle_count,is_observed
8.200000000,8.300000000,3000.000000000,3300.000000000,43.656865580,47,1
8.200000000,8.300000000,3300.000000000,3600.000000000,41.948850390,46,1
8.200000000,8.300000000,3600.000000000,3900.000000000,42.227113230,47,1
8.200000000,8.300000000,3900.000000000,4200.000000000,41.869288362,60,1
8.200000000,8.300000000,4200.000000000,4500.000000000,38.046980370,52,1
8.200000000,8.300000000,4500.000000000,4800.000000000,41.460469064,48,1
8.200000000,8.300000000,4800.000000000,5100.000000000,40.791893703,61,1
8.200000000,8.300000000,5100.000000000,5400.000000000,42.099907584,59,1
8.200000000,8.300000000,5400.000000000,5700.000000000,44.533536253,51,1
8.200000000,8.300000000,5700.000000000,6000.000000000,44.222294817,45,1
8.200000000,8.300000000,6000.000000000,6300.000000000,41.013500941,61,1
8.200000000,8.300000000,6300.000000000,6600.000000000,43.225409283,52,1
8.200000000,8.300000000,6600.000000000,6900.000000000,43.361705551,47,1
8.200000000,8.300000000,6900.000000000,7200.000000000,44.177958317,53,1
8.200000000,8.300000000,7200.000000000,7500.000000000,43.055412241,46,1
8.200000000,8.300000000,7500.000000000,7800.000000000,43.552957220,53,1
8.200000000,8.300000000,7800.000000000,8100.000000000,41.926746158,60,1
8.200000000,8.300000000,8100.000000000,8400.000000000,44.089569216,52,1
8.200000000,8.300000000,8400.000000000,8700.000000000,42.971613785,53,1
8.200000000,8.300000000,8700.000000000,9000.000000000,43.454263554,44,1
8.200000000,8.300000000,9000.000000000,9300.000000000,43.536687214,52,1
8.200000000,8.300000000,9300.000000000,9600.000000000,40.868476215,54,1
8.200000000,8.300000000,9600.000000000,9900.000000000,40.153979139,65,1
8.200000000,8.300000000,9900.000000000,10200.000000000,44.739734563,47,1
8.200000000,8.300000000,10200.000000000,10500.000000000,45.675575867,43,1
8.200000000,8.300000000,10500.000000000,10800.000000000,42.891322649,60,1
8.200000000,8.300000000,10800.000000000,11100.000000000,45.898371866,49,1
8.200000000,8.300000000,11100.000000000,11400.000000000,42.636785359,47,1
8.200000000,8.300000000,11400.000000000,11700.000000000,40.644003348,43,1
8.200000000,8.300000000,11700.000000000,12000.000000000,41.445423867,56,1
8.200000000,8.300000000,12000.000000000,12300.000000000,41.001046711,46,1
8.200000000,8.300000000,12300.000000000,12600.000000000,43.430320626,60,1
8.200000000,8.300000000,12600.000000000,12900.000000000,41.710090849,54,1
8.200000000,8.300000000,12900.000000000,13200.000000000,44.234008310,48,1
8.200000000,8.300000000,13200.000000000,13500.000000000,44.868412265,53,1
8.200000000,8.300000000,13500.000000000,13800.000000000,43.980192259,47,1
8.200000000,8.300000000,13800.000000000,14100.000000000,44.067189105,54,1
8.200000000,8.300000000,14100.000000000,14400.000000000,43.947712245,46,1
8.200000000,8.300000000,14400.000000000,14700.000000000,39.593797276,58,1
8.200000000,8.300000000,14700.000000000,15000.000000000,42.600842707,49,1
8.200000000,8.300000000,15000.000000000,15300.000000000,44.707397202,49,1
8.200000000,8.300000000,15300.000000000,15600.000000000,40.678997199,53,1
8.200000000,8.300000000,15600.000000000,15900.000000000,38.361592927,52,1
8.200000000,8.300000000,15900.000000000,16200.000000000,41.596559534,49,1
8.200000000,8.300000000,16200.000000000,16500.000000000,41.505744190,51,1
8.200000000,8.300000000,16500.000000000,16800.000000000,42.123917570,56,1
8.200000000,8.300000000,16800.000000000,17100.000000000,41.416121757,51,1
8.200000000,8.300000000,17100.000000000,17400.000000000,41.313437096,46,1
8.200000000,8.300000000,17400.000000000,17700.000000000,38.008165559,48,1
8.200000000,8.300000000,17700.000000000,18000.000000000,41.588902034,46,1
8.200000000,8.300000000,18000.000000000,18300.000000000,41.246007284,56,1
8.200000000,8.300000000,18300.000000000,18600.000000000,45.165748619,46,1
8.200000000,8.300000000,18600.000000000,18900.000000000,42.257590495,47,1
8.200000000,8.300000000,18900.000000000,19200.000000000,42.968793785,59,1
8.200000000,8.300000000,19200.000000000,19500.000000000,39.491192836,51,1
8.200000000,8.300000000,19500.000000000,19800.000000000,41.916859479,53,1
8.200000000,8.300000000,19800.000000000,20100.000000000,38.304250591,53,1
8.200000000,8.300000000,20100.000000000,20400.000000000,40.565581817,45,1
8.200000000,8.300000000,20400.000000000,20700.000000000,41.884008922,67,1
8.200000000,8.300000000,20700.000000000,21000.000000000,42.629967646,37,1
8.200000000,8.300000000,21000.000000000,21300.000000000,42.812391133,47,1
8.200000000,8.300000000,21300.000000000,21600.000000000,43.660994677,56,1
8.300000000,8.400000000,0.000000000,300.000000000,65.000000000,0,0
8.300000000,8.400000000,300.000000000,600.000000000,56.245803905,2,1
8.300000000,8.400000000,600.000000000,900.000000000,42.707064142,37,1
8.300000000,8.400000000,900.000000000,1200.000000000,41.548431229,45,1
8.300000000,8.400000000,1200.000000000,1500.000000000,38.313451768,48,1
8.300000000,8.400000000,1500.000000000,1800.000000000,38.759728018,60,1
8.300000000,8.400000000,1800.000000000,2100.000000000,41.432468189,40,1
8.300000000,8.400000000,2100.000000000,2400.000000000,42.216688739,56,1
8.300000000,8.400000000,2400.000000000,2700.000000000,46.307150631,55,1
8.300000000,8.400000000,2700.000000000,3000.000000000,44.069597623,53,1
8.300000000,8.400000000,3000.000000000,3300.000000000,43.967357559,45,1
8.300000000,8.400000000,3300.000000000,3600.000000000,42.608911186,47,1
8.300000000,8.400000000,3600.000000000,3900.000000000,42.887672975,47,1
8.300000000,8.400000000,3900.000000000,4200.000000000,41.334505101,64,1
8.300000000,8.400000000,4200.000000000,4500.000000000,39.574148036,48,1
8.300000000,8.400000000,4500.000000000,4800.000000000,41.782373458,47,1
8.300000000,8.400000000,4800.000000000,5100.000000000,41.158377096,59,1
8.300000000,8.400000000,5100.000000000,5400.000000000,41.321540523,60,1
8.300000000,8.400000000,5400.000000000,5700.000000000,44.771495487,48,1
8.300000000,8.400000000,5700.000000000,6000.000000000,45.075032297,48,1
8.300000000,8.400000000,6000.000000000,6300.000000000,42.122073641,59,1
8.300000000,8.400000000,6300.000000000,6600.000000000,43.446277808,52,1
8.300000000,8.400000000,6600.000000000,6900.000000000,43.523409564,47,1
8.300000000,8.400000000,6900.000000000,7200.000000000,45.173964074,53,1
8.300000000,8.400000000,7200.000000000,7500.000000000,41.819439143,43,1
8.300000000,8.400000000,7500.000000000,7800.000000000,43.362410478,54,1
8.300000000,8.400000000,7800.000000000,8100.000000000,42.007005590,60,1
8.300000000,8.400000000,8100.000000000,8400.000000000,42.232339083,55,1
8.300000000,8.400000000,8400.000000000,8700.000000000,41.622348386,54,1
8.300000000,8.400000000,8700.000000000,9000.000000000,42.324182994,44,1
8.300000000,8.400000000,9000.000000000,9300.000000000,43.974942872,53,1
8.300000000,8.400000000,9300.000000000,9600.000000000,41.960425275,50,1
8.300000000,8.400000000,9600.000000000,9900.000000000,40.254451019,69,1
8.300000000,8.400000000,9900.000000000,10200.000000000,44.571716779,48,1
8.300000000,8.400000000,10200.000000000,10500.000000000,44.839203948,43,1
8.300000000,8.400000000,10500.000000000,10800.000000000,41.729571560,58,1
8.300000000,8.400000000,10800.000000000,11100.000000000,45.343242111,49,1
8.300000000,8.400000000,11100.000000000,11400.000000000,41.882817248,49,1
8.300000000,8.400000000,11400.000000000,11700.000000000,40.516369006,45,1
8.300000000,8.400000000,11700.000000000,12000.000000000,41.001765938,52,1
8.300000000,8.400000000,12000.000000000,12300.000000000,39.793988909,50,1
8.300000000,8.400000000,12300.000000000,12600.000000000,43.553687790,57,1
8.300000000,8.400000000,12600.000000000,12900.000000000,42.609758381,51,1
8.300000000,8.400000000,12900.000000000,13200.000000000,43.853625511,46,1
8.300000000,8.400000000,13200.000000000,13500.000000000,45.106509887,54,1
8.300000000,8.400000000,13500.000000000,13800.000000000,44.488696998,47,1
8.300000000,8.400000000,13800.000000000,14100.000000000,44.263608335,54,1
8.300000000,8.400000000,14100.000000000,14400.000000000,43.533921740,42,1
8.300000000,8.400000000,14400.000000000,14700.000000000,40.277695209,59,1
8.300000000,8.400000000,14700.000000000,15000.000000000,42.821717900,49,1
8.300000000,8.400000000,15000.000000000,15300.000000000,45.267032230,46,1
8.300000000,8.400000000,15300.000000000,15600.000000000,40.785592464,53,1
8.300000000,8.400000000,15600.000000000,15900.000000000,38.372681014,52,1
8.300000000,8.400000000,15900.000000000,16200.000000000,41.341559914,49,1
8.300000000,8.400000000,16200.000000000,16500.000000000,41.516573975,48,1
